query,label
"điện thoại nào có thời gian hỗ trợ phần mềm lâu nhất?","iphone15promax,googlepixel7,samsunggalaxys24ultra"
"máy nào chụp ảnh thiếu sáng tốt nhất?","iphone15promax,googlepixel7,samsunggalaxys24ultra"
"điện thoại đa nhiệm tốt nhất?","iphone15promax,oneplus12,asusrogphone8"
"tôi muốn máy có khả năng tùy biến cao?","oneplus12,nothingphone2,fairphone5"
"điện thoại nào có cảm biến vân tay tốt nhất?","samsunggalaxys24ultra,oneplus12,googlepixel7"
"máy nào chống bụi bẩn tốt?","iphone15promax,samsunggalaxys24ultra,nokiaxr30"
"điện thoại có khả năng sạc không dây?","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"tôi cần máy chụp ảnh chân dung nghệ thuật?","iphone15promax,googlepixel7,vivox90pro"
"điện thoại nào có khả năng quay video chuyên nghiệp?","iphone15promax,samsunggalaxys24ultra,sonyxperia1vi"
"máy nào có hiệu năng ổn định lâu dài?","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"điện thoại có hỗ trợ eSIM?","iphone15promax,samsunggalaxys24ultra,googlepixel7"
"tôi cần máy có bảo mật tốt nhất?","iphone15promax,googlepixel7,samsunggalaxys24ultra"
